Path,English,Spanish
GeneralPurpose.schoolControl.public,Public,Pública
GeneralPurpose.schoolControl.private,Private,Privada
GeneralPurpose.schoolControl.for-profit,For-profit,Con fines de lucro
GeneralPurpose.degreeLevel.2-year,2-year,2 años
GeneralPurpose.degreeLevel.4-year,4-year,4 años
GeneralPurpose.hbcu,HBCU,HBCU
GeneralPurpose.tribalCollege,Tribal college,Universidad tribal
GeneralPurpose.incomeSelection.110001,>$110K income,Ingresos de >$100.000
GeneralPurpose.incomeSelection.average,any income,Cualquier nivel de ingreso
GeneralPurpose.incomeSelection.0_30000,<$30K income,Ingresos  <$30.000
GeneralPurpose.incomeSelection.30001_48000,$30K-$48K income,Ingresos entre $30.000 y $48.000
GeneralPurpose.incomeSelection.48001_75000,$48K-$75K income,Ingresos entre $48.000 to $75.000
GeneralPurpose.incomeSelection.75001_110000,$75K-$110K income,Ingresos entre $75.000 y $110.000
GeneralPurpose.demographicCategories.amerindalasknat,American Indian/Alaska Native,Indígena americano/ Nativo de Alaska
GeneralPurpose.demographicCategories.asian,Asian,Asiática
GeneralPurpose.demographicCategories.black,Black,Negro
GeneralPurpose.demographicCategories.hisp,Hispanic,Hispana
GeneralPurpose.demographicCategories.nathawpacisl,Native Hawaiian/Pacific Islander,Nativo de Hawaii/ Isleño del pacífico
GeneralPurpose.demographicCategories.white,White,Blanca
GeneralPurpose.demographicCategories.multiple,Multiple races,Múltiples razas
GeneralPurpose.demographicCategories.nonresident,Nonresident,No residente
GeneralPurpose.demographicCategories.unknown,Unknown race,Raza desconocida
AdSlot.title,Advertisement,Publicidad
HeroSplash.subtitle,Revealing the true cost of college,Revelando el verdadero costo de la universidad
SearchBar.where.title,Where,Dónde
SearchBar.where.placeholder,Find a school or pick a state,Buscar una institución o escoger un estado
SearchBar.where.states,States,Estados
SearchBar.where.schools,Schools,Instituciones
SearchBar.more.title,Total cost and more,Costo total y más
SearchBar.more.placeholder,More search options,Más opciones de búsqueda
SearchBar.advanced.cost.title,What it will cost,Cuánto costará
